[2026-03-03 00:52:55] Population: 5 | Energy Pool: 38
[2026-03-03 00:53:06] Population: 7 | Energy Pool: 40
[2026-03-03 00:53:16] Population: 10 | Energy Pool: 30
[2026-03-03 00:53:27] Population: 10 | Energy Pool: 6
[2026-03-03 00:53:37] Population: 7 | Energy Pool: 0
[2026-03-03 00:53:47] Population: 5 | Energy Pool: 2
[2026-03-03 00:53:58] Population: 5 | Energy Pool: 5
[2026-03-03 00:54:08] Population: 5 | Energy Pool: 7
[2026-03-03 00:54:18] Population: 5 | Energy Pool: 9
[2026-03-03 00:54:29] Population: 5 | Energy Pool: 10
[2026-03-03 00:54:39] Population: 5 | Energy Pool: 7
[2026-03-03 00:54:49] Population: 5 | Energy Pool: 3
[2026-03-03 00:54:59] Population: 4 | Energy Pool: 5
[2026-03-03 00:55:10] Population: 4 | Energy Pool: 9
[2026-03-03 00:55:20] Population: 4 | Energy Pool: 12
[2026-03-03 00:55:30] Population: 4 | Energy Pool: 14
[2026-03-03 00:55:40] Population: 4 | Energy Pool: 15
[2026-03-03 00:55:51] Population: 4 | Energy Pool: 17
[2026-03-03 00:56:01] Population: 4 | Energy Pool: 20
[2026-03-03 00:56:11] Population: 4 | Energy Pool: 24
[2026-03-03 00:56:21] Population: 4 | Energy Pool: 28
[2026-03-03 00:56:32] Population: 4 | Energy Pool: 30
[2026-03-03 00:56:42] Population: 5 | Energy Pool: 33
[2026-03-03 00:56:52] Population: 7 | Energy Pool: 32
[2026-03-03 00:57:03] Population: 8 | Energy Pool: 23
[2026-03-03 00:57:13] Population: 8 | Energy Pool: 6
[2026-03-03 00:57:23] Population: 5 | Energy Pool: 3
[2026-03-03 00:57:34] Population: 4 | Energy Pool: 3
[2026-03-03 00:57:44] Population: 4 | Energy Pool: 0
[2026-03-03 00:57:54] Population: 4 | Energy Pool: 0
[2026-03-03 00:58:04] Population: 4 | Energy Pool: 0
[2026-03-03 00:58:15] Population: 4 | Energy Pool: 1
[2026-03-03 00:58:25] Population: 4 | Energy Pool: 0
[2026-03-03 00:58:35] Population: 3 | Energy Pool: 6
[2026-03-03 00:58:45] Population: 3 | Energy Pool: 10
[2026-03-03 00:58:56] Population: 3 | Energy Pool: 16
[2026-03-03 00:59:06] Population: 3 | Energy Pool: 19
[2026-03-03 00:59:16] Population: 3 | Energy Pool: 22
[2026-03-03 00:59:26] Population: 3 | Energy Pool: 26
[2026-03-03 00:59:36] Population: 3 | Energy Pool: 28
[2026-03-03 00:59:47] Population: 4 | Energy Pool: 29
[2026-03-03 00:59:57] Population: 6 | Energy Pool: 29
[2026-03-03 01:00:07] Population: 7 | Energy Pool: 27
[2026-03-03 01:00:18] Population: 9 | Energy Pool: 21
[2026-03-03 01:00:28] Population: 9 | Energy Pool: 10
[2026-03-03 01:00:38] Population: 8 | Energy Pool: 19
[2026-03-03 01:00:49] Population: 8 | Energy Pool: 29
[2026-03-03 01:00:59] Population: 10 | Energy Pool: 36
[2026-03-03 01:01:10] Population: 15 | Energy Pool: 33
[2026-03-03 01:01:20] Population: 19 | Energy Pool: 16
[2026-03-03 01:01:31] Population: 16 | Energy Pool: 0
[2026-03-03 01:01:42] Population: 9 | Energy Pool: 1
[2026-03-03 01:01:53] Population: 9 | Energy Pool: 6
[2026-03-03 01:02:03] Population: 9 | Energy Pool: 8
[2026-03-03 01:02:14] Population: 9 | Energy Pool: 10
[2026-03-03 01:02:24] Population: 9 | Energy Pool: 10
[2026-03-03 01:02:35] Population: 9 | Energy Pool: 12
[2026-03-03 01:02:45] Population: 9 | Energy Pool: 10
[2026-03-03 01:02:55] Population: 9 | Energy Pool: 5
[2026-03-03 01:03:06] Population: 8 | Energy Pool: 4
[2026-03-03 01:03:16] Population: 8 | Energy Pool: 3
[2026-03-03 01:03:27] Population: 8 | Energy Pool: 4
[2026-03-03 01:03:37] Population: 8 | Energy Pool: 5
[2026-03-03 01:03:48] Population: 8 | Energy Pool: 4
[2026-03-03 01:03:58] Population: 8 | Energy Pool: 2
[2026-03-03 01:04:08] Population: 7 | Energy Pool: 2
[2026-03-03 01:04:19] Population: 7 | Energy Pool: 2
[2026-03-03 01:04:29] Population: 7 | Energy Pool: 2
[2026-03-03 01:04:40] Population: 7 | Energy Pool: 0
[2026-03-03 01:04:50] Population: 6 | Energy Pool: 0
[2026-03-03 01:05:00] Population: 4 | Energy Pool: 0
[2026-03-03 01:05:11] Population: 3 | Energy Pool: 3
[2026-03-03 01:05:21] Population: 3 | Energy Pool: 4
[2026-03-03 01:05:31] Population: 3 | Energy Pool: 4
[2026-03-03 01:05:41] Population: 3 | Energy Pool: 5
[2026-03-03 01:05:51] Population: 3 | Energy Pool: 5
[2026-03-03 01:06:01] Population: 3 | Energy Pool: 5
[2026-03-03 01:06:12] Population: 3 | Energy Pool: 5
[2026-03-03 01:06:22] Population: 3 | Energy Pool: 6
[2026-03-03 01:06:32] Population: 3 | Energy Pool: 4
[2026-03-03 01:06:42] Population: 3 | Energy Pool: 4
[2026-03-03 01:06:52] Population: 3 | Energy Pool: 2
[2026-03-03 01:07:03] Population: 2 | Energy Pool: 10
[2026-03-03 01:07:13] Population: 2 | Energy Pool: 18
[2026-03-03 01:07:23] Population: 2 | Energy Pool: 27
[2026-03-03 01:07:33] Population: 2 | Energy Pool: 35
[2026-03-03 01:07:43] Population: 3 | Energy Pool: 44
[2026-03-03 01:07:53] Population: 5 | Energy Pool: 50
[2026-03-03 01:08:04] Population: 6 | Energy Pool: 35
[2026-03-03 01:08:14] Population: 8 | Energy Pool: 5
[2026-03-03 01:08:25] Population: 3 | Energy Pool: 2
[2026-03-03 01:08:35] Population: 2 | Energy Pool: 3
[2026-03-03 01:08:45] Population: 2 | Energy Pool: 6
[2026-03-03 01:08:55] Population: 2 | Energy Pool: 9
[2026-03-03 01:09:05] Population: 2 | Energy Pool: 13
[2026-03-03 01:09:15] Population: 2 | Energy Pool: 17
[2026-03-03 01:09:25] Population: 2 | Energy Pool: 21
[2026-03-03 01:09:36] Population: 2 | Energy Pool: 26
[2026-03-03 01:09:46] Population: 2 | Energy Pool: 30
[2026-03-03 01:09:56] Population: 2 | Energy Pool: 34
[2026-03-03 01:10:06] Population: 3 | Energy Pool: 39
[2026-03-03 01:10:16] Population: 4 | Energy Pool: 38
[2026-03-03 01:10:26] Population: 5 | Energy Pool: 29
[2026-03-03 01:10:37] Population: 5 | Energy Pool: 5
[2026-03-03 01:10:47] Population: 3 | Energy Pool: 9
[2026-03-03 01:10:57] Population: 6 | Energy Pool: 64
[2026-03-03 01:11:08] Population: 12 | Energy Pool: 90
[2026-03-03 01:11:18] Population: 24 | Energy Pool: 66
[2026-03-03 01:11:30] Population: 28 | Energy Pool: 2
[2026-03-03 01:11:41] Population: 13 | Energy Pool: 1
[2026-03-03 01:11:52] Population: 14 | Energy Pool: 3
[2026-03-03 01:12:02] Population: 14 | Energy Pool: 0
[2026-03-03 01:12:13] Population: 13 | Energy Pool: 2
[2026-03-03 01:12:24] Population: 16 | Energy Pool: 0
[2026-03-03 01:12:35] Population: 16 | Energy Pool: 0
[2026-03-03 01:12:46] Population: 14 | Energy Pool: 1
[2026-03-03 01:12:56] Population: 14 | Energy Pool: 2
[2026-03-03 01:13:07] Population: 14 | Energy Pool: 4
[2026-03-03 01:13:18] Population: 14 | Energy Pool: 3
[2026-03-03 01:13:28] Population: 13 | Energy Pool: 3
[2026-03-03 01:13:39] Population: 13 | Energy Pool: 0
[2026-03-03 01:13:50] Population: 12 | Energy Pool: 7
[2026-03-03 01:14:00] Population: 13 | Energy Pool: 2
[2026-03-03 01:14:11] Population: 14 | Energy Pool: 0
[2026-03-03 01:14:22] Population: 12 | Energy Pool: 1
[2026-03-03 01:14:32] Population: 12 | Energy Pool: 4
[2026-03-03 01:14:43] Population: 12 | Energy Pool: 2
[2026-03-03 01:14:54] Population: 12 | Energy Pool: 6
[2026-03-03 01:15:04] Population: 16 | Energy Pool: 0
